Site,Site Name,HR_age,Compost,Crops,Cover_Crop,Fallow,soil,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,log_N,log_C,CN_ratio,N_kg_m2,C_kg_m2
4,FBF,10,0,diverse,0,0,Yolo,1,H,3,50,75,25,23,52.5,24.5,77,1.414387799,6.53,0.074334343,0.387788386,2.628439711,13.71207903,0.41969802,1.137103308,5.216813218,0.262843971,1.371207903
4,FBF,10,0,diverse,0,0,Yolo,1,H,3,75,100,25,30.75,46.75,22.5,69.25,1.252985885,6.29,0.069315068,0.371380749,2.171270049,11.63337091,0.336713842,1.065705575,5.357864591,0.217127005,1.163337091
4,FBF,10,24,diverse,1,2,Yolo,1,R,1,0,10,10,19.75,47.75,32.5,80.25,1.273514633,6.93,0.229287441,2.464104002,2.920009108,31.38072503,0.465384206,1.496662973,10.74679012,0.292000911,3.138072503
4,FBF,10,24,diverse,1,2,Yolo,1,R,1,10,20,10,17.25,52.75,30,82.75,1.473777239,6.9,0.198349162,1.968465723,2.923224805,29.01079979,0.465862215,1.462559702,9.924245216,0.292322481,2.901079979
4,FBF,10,24,diverse,1,2,Yolo,1,R,1,20,50,30,11.5,56.25,32.25,88.5,1.707269651,6.58,0.104282608,0.829525348,5.341155953,42.48670355,0.727635259,1.628253036,7.954589592,0.534115595,4.248670355
4,FBF,10,24,diverse,1,2,Yolo,1,R,1,50,75,25,7,58.5,34.5,93,1.503825468,6.44,0.078977138,0.508920012,2.969195777,19.13317188,0.472638834,1.281786973,6.443890306,0.296919578,1.913317188
4,FBF,10,24,diverse,1,2,Yolo,1,R,1,75,100,25,29.5,51.25,19.25,70.5,1.409741686,6.78,0.071593084,0.41737654,2.523193874,14.70982768,0.401950622,1.167607585,5.829844404,0.252319387,1.470982768
4,FBF,10,24,diverse,1,2,Yolo,1,R,2,0,10,10,18.5,51.5,30,81.5,1.273514633,6.92,0.226900029,2.460882166,2.889605066,31.33969448,0.46083849,1.496094758,10.84566706,0.288960507,3.133969448
4,FBF,10,24,diverse,1,2,Yolo,1,R,2,10,20,10,16,51.5,32.5,84,1.473777239,6.88,0.220121421,2.40989648,3.244099403,35.51650581,0.511094153,1.550430232,10.94803253,0.32440994,3.551650581
4,FBF,10,24,diverse,1,2,Yolo,1,R,2,20,50,30,16.75,50.25,33,83.25,1.707269651,6.4,0.116780984,1.001255289,5.981298917,51.28238305,0.776795507,1.709968198,8.573787027,0.598129892,5.128238305
4,FBF,10,24,diverse,1,2,Yolo,1,R,2,50,75,25,8.5,51.5,40,91.5,1.503825468,6.48,0.075164952,0.40044185,2.825874245,15.0548663,0.451152831,1.177676903,5.327507522,0.282587425,1.50548663
4,FBF,10,24,diverse,1,2,Yolo,1,R,2,75,100,25,32.25,48.25,19.5,67.75,1.409741686,6.5,0.065996933,0.30743675,2.325965692,10.83516008,0.366603305,1.034835332,4.658349051,0.232596569,1.083516008
4,FBF,10,24,diverse,1,2,Yolo,1,R,3,0,10,10,19.75,47.75,32.5,80.25,1.273514633,6.9,0.232272549,2.581426939,2.958024904,32.87484981,0.471001826,1.516863777,11.11378399,0.29580249,3.287484981
