Site Name,Site,HR_age,Compost,Crops,Cover_Crop,Fallow,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,soil,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,CN_ratio,log_N,log_C,profileC,POXc,EOC,EON,MBC,MBN,MB_CN_ratio,glucam,glucos,cell, GWC,Infiltration_Dry,Infiltration_Wet,SH_15,SSH_30,Macroagg,Microagg,Total_Agg
HRF-C,15,25,0,rye,0,3,3,R,2,0,10,10,Capay,17.25,30.25,52.5,82.75,1.243856526,6.5,0.100715273,0.915955318,1.25275349,11.39317,9.094502704,0.097865621,1.056644578,102.5709421,351.29,21.9,17.6,66.74403047,19.63264543,3.399645285,0.132238199,1.023963301,0.153873095,0.138424821,1.67,15.46,80,180,43.5,28.3,71.8
HRF-C,15,25,0,rye,0,3,3,R,3,0,10,10,Capay,11,34,55,89,1.243856526,6.48,0.115937858,0.931841334,1.442100611,11.59076925,8.037420662,0.158995561,1.06411226,123.1607003,179.68,17.8,22.6,87.51171875,20.1428125,4.344563042,0.150328748,0.961805337,0.146237614,0.255813954,3.27,49.87,60,175,30.8,38.1,68.9
HRF-C2,16,25,0,rye,0,0,3,H,1,0,10,10,Capay,16,29,55,84,1.276715148,6.55,0.27840799,3.931754897,3.554476982,50.19731036,14.12227751,0.550775706,1.700680448,182.5897953,548.82,50.2,43.4,336.9902994,123.3269062,2.732496175,1.277895238,3.888453528,1.042855142,0.231595092,2.4,9.08,30,80,50.6,18.5,69.1
HRF-C2,16,25,0,rye,0,0,3,H,2,0,10,10,Capay,17.25,30.25,52.5,82.75,1.276715148,6.58,0.303029796,3.165974432,3.868827314,40.42047516,10.44773309,0.587579345,1.606601414,188.1102781,663.72,20.2,20.2,218.2872449,62.49285715,3.492995118,0.254500326,2.304297103,0.440253622,0.246153846,8.15,19.88,50,100,45.9,24.2,70.1
HRF-C2,16,25,0,rye,0,0,3,H,3,0,10,10,Capay,13.5,31.5,55,86.5,1.276715148,6.56,0.232391306,2.69900562,2.966975012,34.45861359,11.61405588,0.472313889,1.5372978,164.3324759,634.03,26.3,19.7,186.2127151,92.7376195,2.007952286,0.723561158,3.324002668,0.792386163,0.213533835,5.96,8.36,10,75,49.5,22.9,72.4
HRF-C2,16,25,0,rye,0,3,3,R,1,0,10,10,Capay,15.75,33,51.25,84.25,1.4953602,6.65,0.189389356,1.902140602,2.832053049,28.44385351,10.04354545,0.452101384,1.453988433,116.4887625,339.41,18.4,26.9,79.68100208,27.14430062,2.935459756,0.092578078,0.4202501,0.129576603,0.260802469,22.75,663.78,75,150,43.7,22.4,66.1
HRF-C2,16,25,0,rye,0,3,3,R,2,0,10,10,Capay,19.25,30.5,50.25,80.75,1.4953602,6.74,0.088459758,0.875658618,1.322792018,13.09425046,9.898948803,0.121491566,1.117080644,111.7052451,422.57,19.3,31.9,74.53983871,25.52844086,2.919874313,0.111710289,0.489844225,0.084439058,0.252010724,26.14,530.34,80,160,41.4,25.7,67.1
HRF-C2,16,25,0,rye,0,3,3,R,3,0,10,10,Capay,18.5,28.5,53,81.5,1.4953602,6.75,0.10213131,0.973813567,1.527230965,14.5620205,9.534917003,0.183904721,1.163221638,126.1840776,441.58,20.7,48.4,72.20607955,36.33600379,1.987177235,0.095795434,0.462173809,0.072807785,0.216617211,23.7,612.88,90,180,48.3,20.2,68.5
MER-3,17,20,0,wheat,0,0,3,H,1,0,10,10,Capay,8.25,33.25,55.5,88.75,1.697854708,7.3,0.163036319,1.860800002,2.768119812,31.59368044,11.41340787,0.442184884,1.499600221,224.1693786,483.68,30.1,17.3,198.479954,58.28379601,3.405405405,0.183145351,2.81444314,0.367740508,0.108071135,39.68,141.79,40,90,66.5,8.6,75.1
MER-3,17,20,0,wheat,0,0,3,H,2,0,10,10,Capay,15.5,32.25,52.25,84.5,1.697854708,7.5,0.205278514,2.495647435,3.485330919,42.37246747,12.15737284,0.542244019,1.627083755,255.6169816,1053.68,61.8,103.7,214.3035058,307.254424,0.697478992,0.486764551,2.116747488,0.386911215,0.147937411,24.41,63.19,30,105,49.3,17.9,67.2
MER-3,17,20,0,wheat,0,0,3,H,3,0,10,10,Capay,9,40,51,91,1.697854708,7.4,0.24396965,2.604107988,4.142250183,44.21397008,10.67390141,0.617236326,1.645559513,293.5291536,722.54,32.6,52.8,97.97756211,106.5697981,0.919374568,0.185983651,3.505410188,0.289319269,0.117808219,30.11,55.75,30,100,63.6,10.9,74.5
MER-3,17,20,0,wheat,0,4.5,3,R,1,0,10,10,Capay,11.5,34,54.5,88.5,1.584630962,7.3,0.1553367,1.595467076,2.461513446,25.28226527,10.27102465,0.391202213,1.402815984,191.4480019,912.54,49.7,61.8,83.45235342,56.78452769,1.469631902,0.143330471,1.033657942,0.138633789,0.13884993,1.62,316.96,80,110,55.2,20.8,76
MER-3,17,20,0,wheat,0,4.5,3,R,2,0,10,10,Capay,12.75,34,53.25,87.25,1.584630962,7.3,0.165881286,1.698883965,2.628606213,26.92104131,10.24156497,0.41972553,1.430091855,203.9066151,750.46,38.0,76.3,43.30952459,4.40804918,9.825100134,0.136652593,1.061105833,0.141191842,0.150417827,34.04,603.93,100,110,60.5,18.7,79.2
MER-3,17,20,0,wheat,0,4.5,3,R,3,0,10,10,Capay,6.5,42.75,50.75,93.5,1.584630962,7.4,0.14283123,1.42042695,2.263347898,22.50852524,9.94479252,0.354751314,1.352347041,182.2494392,612.65,35.5,73.2,98.03802427,11.30606586,8.671276596,0.171110277,1.104866562,0.128378711,0.168587896,2.73,384.35,65,130,46.4,28.6,75
